timestamp,ShortTrend_CC,LongTrend_CC,last_BT,Before_BT,After_BT,ShortSlope_BT,BchStatus,last,id
1510562643,720589.7619,720819.8774,1146.852287,1152.764854,1139.684096,2.457665575,0,720248,158
1510562654,719992.5714,720821.1677,1146.852287,1150.918114,1141.476144,2.764873772,0,721005,159
1510562663,719775.7619,720697.4516,1150,1149.071375,1143.79281,2.907338862,0,721638,160
1510562674,719822.8095,720548.9656,1150,1146.698551,1146.109477,2.255518244,0,721808,161
1510562683,719972.2381,720391.9591,1155,1144.851812,1149.259477,1.523697623,0,722551,162
1510562693,720564.3333,720269.9892,1150,1143.901096,1149.784096,1.148048683,0,722043,163
1510562705,721456.8571,720199.7333,1150,1142.950381,1150.308714,0.592530428,0,721416,164
1510562718,722199,720163.2645,1150,1142.771405,1150.833333,-0.142857141,0,720432,165
1510562726,722495.1905,720291.914,1153.268366,1142.938072,1151.378061,0.038338017,0,720128,166
1510562735,722486.3333,720428.7376,1153.268366,1143.104738,1151.922789,0.032769398,0,720002,167
1510562745,721652.3333,720531.1677,1150,1143.671405,1151.089455,0.373527552,0,720379,168
1510562755,721299.6667,720535.5075,1150,1143.838072,1151.089455,0,0,718001,169
1510562767,720717.4762,720520.1097,1150,1144.996405,1151.089455,-0.373527552,0,718369,170
1510562767,720356,720559.7892,1150,1146.154738,1151.089455,-0.747055104,0,718369,171
1510562783,719928.7619,720767.1054,1145.789074,1147.585436,1149.842907,-1.068470236,0,718231,172
1510562793,719234.1429,720938.6946,1145.789074,1149.016133,1148.596358,-0.962497273,0,718653,173
1510562804,717985.381,721134.5527,1149,1150.174466,1148.429691,-0.624105794,0,719231,174
1510562814,718075.6667,721321.0925,1149,1150.436776,1148.263025,-0.228571451,0,719663,175
1510562823,717847,721272.1548,1149,1150.699085,1148.096358,0.224105754,0,721296,176
1510562834,718234.7619,721344.5097,1149,1150.961394,1147.929691,0.733925822,0,720255,177
1510562845,719413.0952,721473.8645,1149,1150.610484,1148.464846,0.458703639,0,718002,178
